# Copyright (C) 2018  Intel Corporation. All rights reserved.
# Your use of Intel Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Intel Program License 
# Subscription Agreement, the Intel Quartus Prime License Agreement,
# the Intel FPGA IP License Agreement, or other applicable license
# agreement, including, without limitation, that your use is for
# the sole purpose of programming logic devices manufactured by
# Intel and sold by Intel or its authorized distributors.  Please
# refer to the applicable agreement for further details.

# Quartus Prime Version 18.1.0 Build 625 09/12/2018 SJ Standard Edition
# File: C:\Users\eric\Desktop\projects\sandia\psec4a_32_channel\firmware-psec4a-pixp\par\psec4a-pixp-pinout-4-22-2019.csv
# Generated on: Mon Apr 22 13:19:05 2019

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus Prime software.

To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Transceiver Analog Settings Protocol,VCCR_GXB/VCCT_GXB Voltage,Transceiver I/O Pin Termination,Transceiver Dedicated Refclk Pin Termination,Transmitter Common Mode Driver Voltage,Transmitter Slew Rate Control,Transmitter Differential Output Voltage,Receiver Buffer Common Mode Voltage,Strict Preservation
pll_cntrl_io[5],Bidir,PIN_V8,3A,B3A_N0,PIN_V8,3.3-V LVCMOS,,,,,,,,,,,,,
pll_cntrl_io[4],Bidir,PIN_W20,5A,B5A_N0,PIN_W20,3.3-V LVCMOS,,,,,,,,,,,,,
pll_cntrl_io[3],Bidir,PIN_U20,5A,B5A_N0,PIN_U20,3.3-V LVCMOS,,,,,,,,,,,,,
pll_cntrl_io[2],Bidir,PIN_W21,5A,B5A_N0,PIN_W21,3.3-V LVCMOS,,,,,,,,,,,,,
pll_cntrl_io[1],Bidir,PIN_U19,5A,B5A_N0,PIN_U19,3.3-V LVCMOS,,,,,,,,,,,,,
pll_cntrl_io[0],Bidir,PIN_T19,5A,B5A_N0,PIN_T19,3.3-V LVCMOS,,,,,,,,,,,,,
psec4a_avdd_en_o[1],Output,PIN_K21,6A,B6A_N0,PIN_K21,1.2 V,,,,,,,,,,,,,
psec4a_avdd_en_o[0],Output,PIN_V23,5B,B5B_N0,PIN_V23,1.2 V,,,,,,,,,,,,,
psec4a_chansel_o[3],Output,,,,,1.2 V,,,,,,,,,,,,,
psec4a_chansel_o[2],Output,,,,,1.2 V,,,,,,,,,,,,,
psec4a_chansel_o[1],Output,,,,,1.2 V,,,,,,,,,,,,,
psec4a_chansel_o[0],Output,,,,,1.2 V,,,,,,,,,,,,,
psec4a_chansel_o[0][0],Output,PIN_A19,7A,B7A_N0,PIN_A19,1.2 V,,,,,,,,,,,,,
psec4a_chansel_o[0][1],Output,PIN_A18,7A,B7A_N0,PIN_A18,1.2 V,,,,,,,,,,,,,
psec4a_chansel_o[0][2],Output,PIN_A16,7A,B7A_N0,PIN_A16,1.2 V,,,,,,,,,,,,,
psec4a_chansel_o[1][0],Output,PIN_A17,7A,B7A_N0,PIN_A17,1.2 V,,,,,,,,,,,,,
psec4a_chansel_o[1][1],Output,PIN_B17,7A,B7A_N0,PIN_B17,1.2 V,,,,,,,,,,,,,
psec4a_chansel_o[1][2],Output,PIN_C17,7A,B7A_N0,PIN_C17,1.2 V,,,,,,,,,,,,,
psec4a_chansel_o[2][0],Output,PIN_T23,5B,B5B_N0,PIN_T23,1.2 V,,,,,,,,,,,,,
psec4a_chansel_o[2][1],Output,PIN_AA26,5B,B5B_N0,PIN_AA26,1.2 V,,,,,,,,,,,,,
psec4a_chansel_o[2][2],Output,PIN_AA24,5B,B5B_N0,PIN_AA24,1.2 V,,,,,,,,,,,,,
psec4a_chansel_o[3][0],Output,PIN_AE25,4A,B4A_N0,PIN_AE25,1.2 V,,,,,,,,,,,,,
psec4a_chansel_o[3][1],Output,PIN_AE24,4A,B4A_N0,PIN_AE24,1.2 V,,,,,,,,,,,,,
psec4a_chansel_o[3][2],Output,PIN_AE23,4A,B4A_N0,PIN_AE23,1.2 V,,,,,,,,,,,,,
psec4a_compsel_o[3],Output,,,,,1.2 V,,,,,,,,,,,,,
psec4a_compsel_o[2],Output,,,,,1.2 V,,,,,,,,,,,,,
psec4a_compsel_o[1],Output,,,,,1.2 V,,,,,,,,,,,,,
psec4a_compsel_o[0],Output,,,,,1.2 V,,,,,,,,,,,,,
psec4a_compsel_o[0][0],Output,PIN_B21,7A,B7A_N0,PIN_B21,1.2 V,,,,,,,,,,,,,
psec4a_compsel_o[0][1],Output,PIN_C22,7A,B7A_N0,PIN_C22,1.2 V,,,,,,,,,,,,,
psec4a_compsel_o[0][2],Output,PIN_C23,7A,B7A_N0,PIN_C23,1.2 V,,,,,,,,,,,,,
psec4a_compsel_o[1][0],Output,PIN_M25,6A,B6A_N0,PIN_M25,1.2 V,,,,,,,,,,,,,
psec4a_compsel_o[1][1],Output,PIN_M24,6A,B6A_N0,PIN_M24,1.2 V,,,,,,,,,,,,,
psec4a_compsel_o[1][2],Output,PIN_N24,6A,B6A_N0,PIN_N24,1.2 V,,,,,,,,,,,,,
psec4a_compsel_o[2][0],Output,PIN_W25,5B,B5B_N0,PIN_W25,1.2 V,,,,,,,,,,,,,
psec4a_compsel_o[2][1],Output,PIN_W26,5B,B5B_N0,PIN_W26,1.2 V,,,,,,,,,,,,,
psec4a_compsel_o[2][2],Output,PIN_R23,5B,B5B_N0,PIN_R23,1.2 V,,,,,,,,,,,,,
psec4a_compsel_o[3][0],Output,PIN_AD16,4A,B4A_N0,PIN_AD16,1.2 V,,,,,,,,,,,,,
psec4a_compsel_o[3][1],Output,PIN_AD17,4A,B4A_N0,PIN_AD17,1.2 V,,,,,,,,,,,,,
psec4a_compsel_o[3][2],Output,PIN_AD18,4A,B4A_N0,PIN_AD18,1.2 V,,,,,,,,,,,,,
psec4a_d_i[3],Input,,,,,1.2 V,,,,,,,,,,,,,
psec4a_d_i[2],Input,,,,,1.2 V,,,,,,,,,,,,,
psec4a_d_i[1],Input,,,,,1.2 V,,,,,,,,,,,,,
psec4a_d_i[0],Input,,,,,1.2 V,,,,,,,,,,,,,
psec4a_d_i[0][0],Input,PIN_E26,6A,B6A_N0,PIN_E26,1.2 V,,,,,,,,,,,,,
psec4a_d_i[0][1],Input,PIN_F26,6A,B6A_N0,PIN_F26,1.2 V,,,,,,,,,,,,,
psec4a_d_i[0][2],Input,PIN_G25,6A,B6A_N0,PIN_G25,1.2 V,,,,,,,,,,,,,
psec4a_d_i[0][3],Input,PIN_E25,6A,B6A_N0,PIN_E25,1.2 V,,,,,,,,,,,,,
psec4a_d_i[0][4],Input,PIN_G24,6A,B6A_N0,PIN_G24,1.2 V,,,,,,,,,,,,,
psec4a_d_i[0][5],Input,PIN_F24,6A,B6A_N0,PIN_F24,1.2 V,,,,,,,,,,,,,
psec4a_d_i[0][6],Input,PIN_E24,6A,B6A_N0,PIN_E24,1.2 V,,,,,,,,,,,,,
psec4a_d_i[0][7],Input,PIN_F23,6A,B6A_N0,PIN_F23,1.2 V,,,,,,,,,,,,,
psec4a_d_i[0][8],Input,PIN_E23,6A,B6A_N0,PIN_E23,1.2 V,,,,,,,,,,,,,
psec4a_d_i[0][9],Input,PIN_F22,6A,B6A_N0,PIN_F22,1.2 V,,,,,,,,,,,,,
psec4a_d_i[0][10],Input,PIN_G22,6A,B6A_N0,PIN_G22,1.2 V,,,,,,,,,,,,,
psec4a_d_i[1][0],Input,PIN_J26,6A,B6A_N0,PIN_J26,1.2 V,,,,,,,,,,,,,
psec4a_d_i[1][1],Input,PIN_J25,6A,B6A_N0,PIN_J25,1.2 V,,,,,,,,,,,,,
psec4a_d_i[1][2],Input,PIN_H25,6A,B6A_N0,PIN_H25,1.2 V,,,,,,,,,,,,,
psec4a_d_i[1][3],Input,PIN_L24,6A,B6A_N0,PIN_L24,1.2 V,,,,,,,,,,,,,
psec4a_d_i[1][4],Input,PIN_H24,6A,B6A_N0,PIN_H24,1.2 V,,,,,,,,,,,,,
psec4a_d_i[1][5],Input,PIN_K24,6A,B6A_N0,PIN_K24,1.2 V,,,,,,,,,,,,,
psec4a_d_i[1][6],Input,PIN_H23,6A,B6A_N0,PIN_H23,1.2 V,,,,,,,,,,,,,
psec4a_d_i[1][7],Input,PIN_K23,6A,B6A_N0,PIN_K23,1.2 V,,,,,,,,,,,,,
psec4a_d_i[1][8],Input,PIN_L23,6A,B6A_N0,PIN_L23,1.2 V,,,,,,,,,,,,,
psec4a_d_i[1][9],Input,PIN_H22,6A,B6A_N0,PIN_H22,1.2 V,,,,,,,,,,,,,
psec4a_d_i[1][10],Input,PIN_J23,6A,B6A_N0,PIN_J23,1.2 V,,,,,,,,,,,,,
psec4a_d_i[2][0],Input,PIN_V24,5B,B5B_N0,PIN_V24,1.2 V,,,,,,,,,,,,,
psec4a_d_i[2][1],Input,PIN_U26,5B,B5B_N0,PIN_U26,1.2 V,,,,,,,,,,,,,
psec4a_d_i[2][2],Input,PIN_U25,5B,B5B_N0,PIN_U25,1.2 V,,,,,,,,,,,,,
psec4a_d_i[2][3],Input,PIN_U24,5B,B5B_N0,PIN_U24,1.2 V,,,,,,,,,,,,,
psec4a_d_i[2][4],Input,PIN_T26,5B,B5B_N0,PIN_T26,1.2 V,,,,,,,,,,,,,
psec4a_d_i[2][5],Input,PIN_R25,5B,B5B_N0,PIN_R25,1.2 V,,,,,,,,,,,,,
psec4a_d_i[2][6],Input,PIN_T24,5B,B5B_N0,PIN_T24,1.2 V,,,,,,,,,,,,,
psec4a_d_i[2][7],Input,PIN_P26,5B,B5B_N0,PIN_P26,1.2 V,,,,,,,,,,,,,
psec4a_d_i[2][8],Input,PIN_R26,5B,B5B_N0,PIN_R26,1.2 V,,,,,,,,,,,,,
psec4a_d_i[2][9],Input,PIN_R24,5B,B5B_N0,PIN_R24,1.2 V,,,,,,,,,,,,,
psec4a_d_i[2][10],Input,PIN_N25,5B,B5B_N0,PIN_N25,1.2 V,,,,,,,,,,,,,
psec4a_d_i[3][0],Input,PIN_AD20,4A,B4A_N0,PIN_AD20,1.2 V,,,,,,,,,,,,,
psec4a_d_i[3][1],Input,PIN_AC20,4A,B4A_N0,PIN_AC20,1.2 V,,,,,,,,,,,,,
psec4a_d_i[3][2],Input,PIN_AC18,4A,B4A_N0,PIN_AC18,1.2 V,,,,,,,,,,,,,
psec4a_d_i[3][3],Input,PIN_AC19,4A,B4A_N0,PIN_AC19,1.2 V,,,,,,,,,,,,,
psec4a_d_i[3][4],Input,PIN_AB19,4A,B4A_N0,PIN_AB19,1.2 V,,,,,,,,,,,,,
psec4a_d_i[3][5],Input,PIN_AA18,4A,B4A_N0,PIN_AA18,1.2 V,,,,,,,,,,,,,
psec4a_d_i[3][6],Input,PIN_Y18,4A,B4A_N0,PIN_Y18,1.2 V,,,,,,,,,,,,,
psec4a_d_i[3][7],Input,PIN_W18,4A,B4A_N0,PIN_W18,1.2 V,,,,,,,,,,,,,
psec4a_d_i[3][8],Input,PIN_AC17,4A,B4A_N0,PIN_AC17,1.2 V,,,,,,,,,,,,,
psec4a_d_i[3][9],Input,PIN_Y19,4A,B4A_N0,PIN_Y19,1.2 V,,,,,,,,,,,,,
psec4a_d_i[3][10],Input,PIN_AB17,4A,B4A_N0,PIN_AB17,1.2 V,,,,,,,,,,,,,
psec4a_dllstart_o[3],Output,PIN_AE18,4A,B4A_N0,PIN_AE18,1.2 V,,,,,,,,,,,,,
psec4a_dllstart_o[2],Output,PIN_AE26,4A,B4A_N0,PIN_AE26,1.2 V,,,,,,,,,,,,,
psec4a_dllstart_o[1],Output,PIN_B15,7A,B7A_N0,PIN_B15,1.2 V,,,,,,,,,,,,,
psec4a_dllstart_o[0],Output,PIN_C15,7A,B7A_N0,PIN_C15,1.2 V,,,,,,,,,,,,,
psec4a_latchsel_o[3],Output,,,,,1.2 V,,,,,,,,,,,,,
psec4a_latchsel_o[2],Output,,,,,1.2 V,,,,,,,,,,,,,
psec4a_latchsel_o[1],Output,,,,,1.2 V,,,,,,,,,,,,,
psec4a_latchsel_o[0],Output,,,,,1.2 V,,,,,,,,,,,,,
psec4a_latchsel_o[0][0],Output,PIN_A14,7A,B7A_N0,PIN_A14,1.2 V,,,,,,,,,,,,,
psec4a_latchsel_o[0][1],Output,PIN_B14,7A,B7A_N0,PIN_B14,1.2 V,,,,,,,,,,,,,
psec4a_latchsel_o[0][2],Output,PIN_C14,7A,B7A_N0,PIN_C14,1.2 V,,,,,,,,,,,,,
psec4a_latchsel_o[0][3],Output,PIN_C13,7A,B7A_N0,PIN_C13,1.2 V,,,,,,,,,,,,,
psec4a_latchsel_o[1][0],Output,PIN_A12,7A,B7A_N0,PIN_A12,1.2 V,,,,,,,,,,,,,
psec4a_latchsel_o[1][1],Output,PIN_B12,7A,B7A_N0,PIN_B12,1.2 V,,,,,,,,,,,,,
psec4a_latchsel_o[1][2],Output,PIN_A13,7A,B7A_N0,PIN_A13,1.2 V,,,,,,,,,,,,,
psec4a_latchsel_o[1][3],Output,PIN_A11,7A,B7A_N0,PIN_A11,1.2 V,,,,,,,,,,,,,
psec4a_latchsel_o[2][0],Output,PIN_AE10,4A,B4A_N0,PIN_AE10,1.2 V,,,,,,,,,,,,,
psec4a_latchsel_o[2][1],Output,PIN_AE11,4A,B4A_N0,PIN_AE11,1.2 V,,,,,,,,,,,,,
psec4a_latchsel_o[2][2],Output,PIN_AF11,4A,B4A_N0,PIN_AF11,1.2 V,,,,,,,,,,,,,
psec4a_latchsel_o[2][3],Output,PIN_AD11,4A,B4A_N0,PIN_AD11,1.2 V,,,,,,,,,,,,,
psec4a_latchsel_o[3][0],Output,PIN_AF12,4A,B4A_N0,PIN_AF12,1.2 V,,,,,,,,,,,,,
psec4a_latchsel_o[3][1],Output,PIN_AF13,4A,B4A_N0,PIN_AF13,1.2 V,,,,,,,,,,,,,
psec4a_latchsel_o[3][2],Output,PIN_AE13,4A,B4A_N0,PIN_AE13,1.2 V,,,,,,,,,,,,,
psec4a_latchsel_o[3][3],Output,PIN_AD13,4A,B4A_N0,PIN_AD13,1.2 V,,,,,,,,,,,,,
psec4a_rampstart_o[3],Output,PIN_AC14,4A,B4A_N0,PIN_AC14,1.2 V,,,,,,,,,,,,,
psec4a_rampstart_o[2],Output,PIN_AC13,4A,B4A_N0,PIN_AC13,1.2 V,,,,,,,,,,,,,
psec4a_rampstart_o[1],Output,PIN_D12,7A,B7A_N0,PIN_D12,1.2 V,,,,,,,,,,,,,
psec4a_rampstart_o[0],Output,PIN_C12,7A,B7A_N0,PIN_C12,1.2 V,,,,,,,,,,,,,
psec4a_read_clk_o[3],Output,PIN_AD21,4A,B4A_N0,PIN_AD21,1.2 V,,,,,,,,,,,,,
psec4a_read_clk_o[2],Output,PIN_V25,5B,B5B_N0,PIN_V25,1.2 V,,,,,,,,,,,,,
psec4a_read_clk_o[1],Output,PIN_M26,6A,B6A_N0,PIN_M26,1.2 V,,,,,,,,,,,,,
psec4a_read_clk_o[0],Output,PIN_G26,6A,B6A_N0,PIN_G26,1.2 V,,,,,,,,,,,,,
psec4a_ringosc_en_o[3],Output,PIN_AD12,4A,B4A_N0,PIN_AD12,1.2 V,,,,,,,,,,,,,
psec4a_ringosc_en_o[2],Output,PIN_AD10,4A,B4A_N0,PIN_AD10,1.2 V,,,,,,,,,,,,,
psec4a_ringosc_en_o[1],Output,PIN_B10,7A,B7A_N0,PIN_B10,1.2 V,,,,,,,,,,,,,
psec4a_ringosc_en_o[0],Output,PIN_B11,7A,B7A_N0,PIN_B11,1.2 V,,,,,,,,,,,,,
psec4a_ringosc_mon_i[3],Input,PIN_AB15,4A,B4A_N0,PIN_AB15,1.2 V,,,,,,,,,,,,,
psec4a_ringosc_mon_i[2],Input,PIN_AC15,4A,B4A_N0,PIN_AC15,1.2 V,,,,,,,,,,,,,
psec4a_ringosc_mon_i[1],Input,PIN_D15,7A,B7A_N0,PIN_D15,1.2 V,,,,,,,,,,,,,
psec4a_ringosc_mon_i[0],Input,PIN_D16,7A,B7A_N0,PIN_D16,1.2 V,,,,,,,,,,,,,
psec4a_sclk_o[3],Output,PIN_AF16,4A,B4A_N0,PIN_AF16,1.2 V,,,,,,,,,,,,,
psec4a_sclk_o[2],Output,PIN_AE16,4A,B4A_N0,PIN_AE16,1.2 V,,,,,,,,,,,,,
psec4a_sclk_o[1],Output,PIN_D22,6A,B6A_N0,PIN_D22,1.2 V,,,,,,,,,,,,,
psec4a_sclk_o[0],Output,PIN_C18,7A,B7A_N0,PIN_C18,1.2 V,,,,,,,,,,,,,
psec4a_sdat_o[3],Output,PIN_AF18,4A,B4A_N0,PIN_AF18,1.2 V,,,,,,,,,,,,,
psec4a_sdat_o[2],Output,PIN_AF17,4A,B4A_N0,PIN_AF17,1.2 V,,,,,,,,,,,,,
psec4a_sdat_o[1],Output,PIN_D21,7A,B7A_N0,PIN_D21,1.2 V,,,,,,,,,,,,,
psec4a_sdat_o[0],Output,PIN_C19,7A,B7A_N0,PIN_C19,1.2 V,,,,,,,,,,,,,
psec4a_sle_o[3],Output,PIN_AE14,4A,B4A_N0,PIN_AE14,1.2 V,,,,,,,,,,,,,
psec4a_sle_o[2],Output,PIN_AE15,4A,B4A_N0,PIN_AE15,1.2 V,,,,,,,,,,,,,
psec4a_sle_o[1],Output,PIN_D20,7A,B7A_N0,PIN_D20,1.2 V,,,,,,,,,,,,,
psec4a_sle_o[0],Output,PIN_C20,7A,B7A_N0,PIN_C20,1.2 V,,,,,,,,,,,,,
psec4a_trigger_i[3],Input,PIN_AE19,4A,B4A_N0,PIN_AE19,1.2 V,,,,,,,,,,,,,
psec4a_trigger_i[2],Input,PIN_AF19,4A,B4A_N0,PIN_AF19,1.2 V,,,,,,,,,,,,,
psec4a_trigger_i[1],Input,PIN_B19,7A,B7A_N0,PIN_B19,1.2 V,,,,,,,,,,,,,
psec4a_trigger_i[0],Input,PIN_B20,7A,B7A_N0,PIN_B20,1.2 V,,,,,,,,,,,,,
psec4a_vcdl_output_i[3],Input,PIN_AE20,4A,B4A_N0,PIN_AE20,1.2 V,,,,,,,,,,,,,
psec4a_vcdl_output_i[2],Input,PIN_AE21,4A,B4A_N0,PIN_AE21,1.2 V,,,,,,,,,,,,,
psec4a_vcdl_output_i[1],Input,PIN_A21,7A,B7A_N0,PIN_A21,1.2 V,,,,,,,,,,,,,
psec4a_vcdl_output_i[0],Input,PIN_B22,7A,B7A_N0,PIN_B22,1.2 V,,,,,,,,,,,,,
psec4a_xferadr_o[3],Output,,,,,1.2 V,,,,,,,,,,,,,
psec4a_xferadr_o[2],Output,,,,,1.2 V,,,,,,,,,,,,,
psec4a_xferadr_o[1],Output,,,,,1.2 V,,,,,,,,,,,,,
psec4a_xferadr_o[0],Output,,,,,1.2 V,,,,,,,,,,,,,
psec4a_xferadr_o[0][0],Output,PIN_A24,7A,B7A_N0,PIN_A24,1.2 V,,,,,,,,,,,,,
psec4a_xferadr_o[0][1],Output,PIN_A23,7A,B7A_N0,PIN_A23,1.2 V,,,,,,,,,,,,,
psec4a_xferadr_o[0][2],Output,PIN_B24,7A,B7A_N0,PIN_B24,1.2 V,,,,,,,,,,,,,
psec4a_xferadr_o[0][3],Output,PIN_A22,7A,B7A_N0,PIN_A22,1.2 V,,,,,,,,,,,,,
psec4a_xferadr_o[1][0],Output,PIN_B26,6A,B6A_N0,PIN_B26,1.2 V,,,,,,,,,,,,,
psec4a_xferadr_o[1][1],Output,PIN_B25,6A,B6A_N0,PIN_B25,1.2 V,,,,,,,,,,,,,
psec4a_xferadr_o[1][2],Output,PIN_C25,6A,B6A_N0,PIN_C25,1.2 V,,,,,,,,,,,,,
psec4a_xferadr_o[1][3],Output,PIN_D26,6A,B6A_N0,PIN_D26,1.2 V,,,,,,,,,,,,,
psec4a_xferadr_o[2][0],Output,PIN_AF23,4A,B4A_N0,PIN_AF23,1.2 V,,,,,,,,,,,,,
psec4a_xferadr_o[2][1],Output,PIN_AF22,4A,B4A_N0,PIN_AF22,1.2 V,,,,,,,,,,,,,
psec4a_xferadr_o[2][2],Output,PIN_AF21,4A,B4A_N0,PIN_AF21,1.2 V,,,,,,,,,,,,,
psec4a_xferadr_o[2][3],Output,PIN_AF24,4A,B4A_N0,PIN_AF24,1.2 V,,,,,,,,,,,,,
psec4a_xferadr_o[3][0],Output,PIN_AB25,5B,B5B_N0,PIN_AB25,1.2 V,,,,,,,,,,,,,
psec4a_xferadr_o[3][1],Output,PIN_AC25,5B,B5B_N0,PIN_AC25,1.2 V,,,,,,,,,,,,,
psec4a_xferadr_o[3][2],Output,PIN_AB26,5B,B5B_N0,PIN_AB26,1.2 V,,,,,,,,,,,,,
psec4a_xferadr_o[3][3],Output,PIN_AD25,5B,B5B_N0,PIN_AD25,1.2 V,,,,,,,,,,,,,
serial_data_i,Input,PIN_W11,3B,B3B_N0,PIN_W11,LVDS,,,,serial_data_i(n),,,,,,,,,
serial_data_o,Output,PIN_W10,3B,B3B_N0,PIN_W10,LVDS,,,,serial_data_o(n),,,,,,,,,
uxi_pd_bias_en_o,Output,PIN_AD6,3A,B3A_N0,PIN_AD6,3.3-V LVCMOS,,,,,,,,,,,,,
clk_o(n),Output,PIN_AF8,3B,B3B_N0,PIN_AF8,LVDS,,,,clk_o,,,,,,,,,
serial_data_i(n),Input,PIN_Y11,3B,B3B_N0,PIN_Y11,LVDS,,,,serial_data_i,,,,,,,,,
serial_data_o(n),Output,PIN_Y10,3B,B3B_N0,PIN_Y10,LVDS,,,,serial_data_o,,,,,,,,,
