# Copyright (C) 2018  Intel Corporation. All rights reserved.
# Your use of Intel Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Intel Program License 
# Subscription Agreement, the Intel Quartus Prime License Agreement,
# the Intel FPGA IP License Agreement, or other applicable license
# agreement, including, without limitation, that your use is for
# the sole purpose of programming logic devices manufactured by
# Intel and sold by Intel or its authorized distributors.  Please
# refer to the applicable agreement for further details.

# Quartus Prime Version 18.1.0 Build 625 09/12/2018 SJ Standard Edition
# File: C:\Users\eric\Desktop\projects\sandia\psec4a_32_channel\firmware-psec4a-pixp\par\psec4a-pixp-pinout-3-9-2019.csv
# Generated on: Sat Mar 09 14:15:25 2019

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus Prime software.

To,Direction,Location,I/O Bank,VREF Group,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Transceiver Analog Settings Protocol,VCCR_GXB/VCCT_GXB Voltage,Transceiver I/O Pin Termination,Transceiver Dedicated Refclk Pin Termination,Transmitter Common Mode Driver Voltage,Transmitter Slew Rate Control,Transmitter Differential Output Voltage,Receiver Buffer Common Mode Voltage,Strict Preservation
ftdi_abus_io[9],Bidir,PIN_E6,8A,B8A_N0,3.3-V LVCMOS,,,,,,,,,,,,,
ftdi_abus_io[8],Bidir,PIN_D7,8A,B8A_N0,3.3-V LVCMOS,,,,,,,,,,,,,
ftdi_abus_io[7],Bidir,PIN_D8,8A,B8A_N0,3.3-V LVCMOS,,,,,,,,,,,,,
ftdi_abus_io[6],Bidir,PIN_F6,8A,B8A_N0,3.3-V LVCMOS,,,,,,,,,,,,,
ftdi_abus_io[5],Bidir,PIN_E9,8A,B8A_N0,3.3-V LVCMOS,,,,,,,,,,,,,
ftdi_abus_io[4],Bidir,PIN_F7,8A,B8A_N0,3.3-V LVCMOS,,,,,,,,,,,,,
ftdi_abus_io[3],Bidir,PIN_G6,8A,B8A_N0,3.3-V LVCMOS,,,,,,,,,,,,,
ftdi_abus_io[2],Bidir,PIN_G7,8A,B8A_N0,3.3-V LVCMOS,,,,,,,,,,,,,
ftdi_abus_io[1],Bidir,PIN_H7,8A,B8A_N0,3.3-V LVCMOS,,,,,,,,,,,,,
ftdi_abus_io[0],Bidir,PIN_H8,8A,B8A_N0,3.3-V LVCMOS,,,,,,,,,,,,,
gpio_io[11],Bidir,PIN_H10,8A,B8A_N0,3.3-V LVCMOS,,,,,,,,,,,,,
gpio_io[10],Bidir,PIN_J10,8A,B8A_N0,3.3-V LVCMOS,,,,,,,,,,,,,
gpio_io[9],Bidir,PIN_K10,8A,B8A_N0,3.3-V LVCMOS,,,,,,,,,,,,,
gpio_io[8],Bidir,PIN_P8,3A,B3A_N0,3.3-V LVCMOS,,,,,,,,,,,,,
gpio_io[7],Bidir,PIN_R8,3A,B3A_N0,3.3-V LVCMOS,,,,,,,,,,,,,
gpio_io[6],Bidir,PIN_R9,3A,B3A_N0,3.3-V LVCMOS,,,,,,,,,,,,,
gpio_io[5],Bidir,PIN_T7,3A,B3A_N0,3.3-V LVCMOS,,,,,,,,,,,,,
gpio_io[4],Bidir,PIN_T8,3A,B3A_N0,3.3-V LVCMOS,,,,,,,,,,,,,
gpio_io[3],Bidir,PIN_L9,8A,B8A_N0,3.3-V LVCMOS,,,,,,,,,,,,,
gpio_io[2],Bidir,PIN_U7,3A,B3A_N0,3.3-V LVCMOS,,,,,,,,,,,,,
gpio_io[1],Bidir,PIN_V8,3A,B3A_N0,3.3-V LVCMOS,,,,,,,,,,,,,
gpio_io[0],Bidir,PIN_W8,3A,B3A_N0,3.3-V LVCMOS,,,,,,,,,,,,,
led_o[2],Output,PIN_AA6,3A,B3A_N0,3.3-V LVCMOS,,,,,,,,,,,,,
led_o[1],Output,PIN_AA7,3A,B3A_N0,3.3-V LVCMOS,,,,,,,,,,,,,
led_o[0],Output,PIN_AB6,3A,B3A_N0,3.3-V LVCMOS,,,,,,,,,,,,,
pll_cntrl_io[4],Bidir,PIN_W20,5A,B5A_N0,3.3-V LVCMOS,,,,,,,,,,,,,
pll_cntrl_io[3],Bidir,PIN_U20,5A,B5A_N0,3.3-V LVCMOS,,,,,,,,,,,,,
pll_cntrl_io[2],Bidir,PIN_V20,5A,B5A_N0,3.3-V LVCMOS,,,,,,,,,,,,,
pll_cntrl_io[1],Bidir,PIN_U19,5A,B5A_N0,3.3-V LVCMOS,,,,,,,,,,,,,
pll_cntrl_io[0],Bidir,PIN_T19,5A,B5A_N0,3.3-V LVCMOS,,,,,,,,,,,,,
psec4a_chansel_o[3],Output,,,,1.2 V,,,,,,,,,,,,,
psec4a_chansel_o[2],Output,,,,1.2 V,,,,,,,,,,,,,
psec4a_chansel_o[1],Output,,,,1.2 V,,,,,,,,,,,,,
psec4a_chansel_o[0],Output,,,,1.2 V,,,,,,,,,,,,,
psec4a_chansel_o[0][0],Output,PIN_A19,7A,B7A_N0,1.2 V,,,,,,,,,,,,,
psec4a_chansel_o[0][1],Output,PIN_A18,7A,B7A_N0,1.2 V,,,,,,,,,,,,,
psec4a_chansel_o[0][2],Output,PIN_A16,7A,B7A_N0,1.2 V,,,,,,,,,,,,,
psec4a_chansel_o[1][0],Output,PIN_A17,7A,B7A_N0,1.2 V,,,,,,,,,,,,,
psec4a_chansel_o[1][1],Output,PIN_B17,7A,B7A_N0,1.2 V,,,,,,,,,,,,,
psec4a_chansel_o[1][2],Output,PIN_C17,7A,B7A_N0,1.2 V,,,,,,,,,,,,,
psec4a_chansel_o[2][0],Output,PIN_Y26,5B,B5B_N0,1.2 V,,,,,,,,,,,,,
psec4a_chansel_o[2][1],Output,PIN_AA26,5B,B5B_N0,1.2 V,,,,,,,,,,,,,
psec4a_chansel_o[2][2],Output,PIN_AA24,5B,B5B_N0,1.2 V,,,,,,,,,,,,,
psec4a_chansel_o[3][0],Output,PIN_AE25,4A,B4A_N0,1.2 V,,,,,,,,,,,,,
psec4a_chansel_o[3][1],Output,PIN_AE24,4A,B4A_N0,1.2 V,,,,,,,,,,,,,
psec4a_chansel_o[3][2],Output,PIN_AE23,4A,B4A_N0,1.2 V,,,,,,,,,,,,,
psec4a_compsel_o[3],Output,,,,1.2 V,,,,,,,,,,,,,
psec4a_compsel_o[2],Output,,,,1.2 V,,,,,,,,,,,,,
psec4a_compsel_o[1],Output,,,,1.2 V,,,,,,,,,,,,,
psec4a_compsel_o[0],Output,,,,1.2 V,,,,,,,,,,,,,
psec4a_compsel_o[0][0],Output,PIN_B21,7A,B7A_N0,1.2 V,,,,,,,,,,,,,
psec4a_compsel_o[0][1],Output,PIN_C22,7A,B7A_N0,1.2 V,,,,,,,,,,,,,
psec4a_compsel_o[0][2],Output,PIN_C23,7A,B7A_N0,1.2 V,,,,,,,,,,,,,
psec4a_compsel_o[1][0],Output,PIN_M25,6A,B6A_N0,1.2 V,,,,,,,,,,,,,
psec4a_compsel_o[1][1],Output,PIN_M24,6A,B6A_N0,1.2 V,,,,,,,,,,,,,
psec4a_compsel_o[1][2],Output,PIN_N24,6A,B6A_N0,1.2 V,,,,,,,,,,,,,
psec4a_compsel_o[2][0],Output,PIN_W25,5B,B5B_N0,1.2 V,,,,,,,,,,,,,
psec4a_compsel_o[2][1],Output,PIN_W26,5B,B5B_N0,1.2 V,,,,,,,,,,,,,
psec4a_compsel_o[2][2],Output,PIN_Y25,5B,B5B_N0,1.2 V,,,,,,,,,,,,,
psec4a_compsel_o[3][0],Output,PIN_AD16,4A,B4A_N0,1.2 V,,,,,,,,,,,,,
psec4a_compsel_o[3][1],Output,PIN_AD17,4A,B4A_N0,1.2 V,,,,,,,,,,,,,
psec4a_compsel_o[3][2],Output,PIN_AD18,4A,B4A_N0,1.2 V,,,,,,,,,,,,,
psec4a_d_i[3],Input,,,,1.2 V,,,,,,,,,,,,,
psec4a_d_i[2],Input,,,,1.2 V,,,,,,,,,,,,,
psec4a_d_i[1],Input,,,,1.2 V,,,,,,,,,,,,,
psec4a_d_i[0],Input,,,,1.2 V,,,,,,,,,,,,,
psec4a_d_i[0][0],Input,PIN_E26,6A,B6A_N0,1.2 V,,,,,,,,,,,,,
psec4a_d_i[0][1],Input,PIN_F26,6A,B6A_N0,1.2 V,,,,,,,,,,,,,
psec4a_d_i[0][2],Input,PIN_G25,6A,B6A_N0,1.2 V,,,,,,,,,,,,,
psec4a_d_i[0][3],Input,PIN_E25,6A,B6A_N0,1.2 V,,,,,,,,,,,,,
psec4a_d_i[0][4],Input,PIN_G24,6A,B6A_N0,1.2 V,,,,,,,,,,,,,
psec4a_d_i[0][5],Input,PIN_F24,6A,B6A_N0,1.2 V,,,,,,,,,,,,,
psec4a_d_i[0][6],Input,PIN_E24,6A,B6A_N0,1.2 V,,,,,,,,,,,,,
psec4a_d_i[0][7],Input,PIN_F23,6A,B6A_N0,1.2 V,,,,,,,,,,,,,
psec4a_d_i[0][8],Input,PIN_E23,6A,B6A_N0,1.2 V,,,,,,,,,,,,,
psec4a_d_i[0][9],Input,PIN_F22,6A,B6A_N0,1.2 V,,,,,,,,,,,,,
psec4a_d_i[0][10],Input,PIN_G22,6A,B6A_N0,1.2 V,,,,,,,,,,,,,
psec4a_d_i[1][0],Input,PIN_J26,6A,B6A_N0,1.2 V,,,,,,,,,,,,,
psec4a_d_i[1][1],Input,PIN_J25,6A,B6A_N0,1.2 V,,,,,,,,,,,,,
psec4a_d_i[1][2],Input,PIN_H25,6A,B6A_N0,1.2 V,,,,,,,,,,,,,
psec4a_d_i[1][3],Input,PIN_L24,6A,B6A_N0,1.2 V,,,,,,,,,,,,,
psec4a_d_i[1][4],Input,PIN_H24,6A,B6A_N0,1.2 V,,,,,,,,,,,,,
psec4a_d_i[1][5],Input,PIN_K24,6A,B6A_N0,1.2 V,,,,,,,,,,,,,
psec4a_d_i[1][6],Input,PIN_H23,6A,B6A_N0,1.2 V,,,,,,,,,,,,,
psec4a_d_i[1][7],Input,PIN_K23,6A,B6A_N0,1.2 V,,,,,,,,,,,,,
psec4a_d_i[1][8],Input,PIN_L23,6A,B6A_N0,1.2 V,,,,,,,,,,,,,
psec4a_d_i[1][9],Input,PIN_H22,6A,B6A_N0,1.2 V,,,,,,,,,,,,,
psec4a_d_i[1][10],Input,PIN_J23,6A,B6A_N0,1.2 V,,,,,,,,,,,,,
psec4a_d_i[2][0],Input,PIN_V24,5B,B5B_N0,1.2 V,,,,,,,,,,,,,
psec4a_d_i[2][1],Input,PIN_U26,5B,B5B_N0,1.2 V,,,,,,,,,,,,,
psec4a_d_i[2][2],Input,PIN_U25,5B,B5B_N0,1.2 V,,,,,,,,,,,,,
psec4a_d_i[2][3],Input,PIN_U24,5B,B5B_N0,1.2 V,,,,,,,,,,,,,
psec4a_d_i[2][4],Input,PIN_T26,5B,B5B_N0,1.2 V,,,,,,,,,,,,,
psec4a_d_i[2][5],Input,PIN_R25,5B,B5B_N0,1.2 V,,,,,,,,,,,,,
psec4a_d_i[2][6],Input,PIN_T24,5B,B5B_N0,1.2 V,,,,,,,,,,,,,
psec4a_d_i[2][7],Input,PIN_P26,5B,B5B_N0,1.2 V,,,,,,,,,,,,,
psec4a_d_i[2][8],Input,PIN_R26,5B,B5B_N0,1.2 V,,,,,,,,,,,,,
psec4a_d_i[2][9],Input,PIN_R24,5B,B5B_N0,1.2 V,,,,,,,,,,,,,
psec4a_d_i[2][10],Input,PIN_N25,5B,B5B_N0,1.2 V,,,,,,,,,,,,,
psec4a_d_i[3][0],Input,PIN_AD20,4A,B4A_N0,1.2 V,,,,,,,,,,,,,
psec4a_d_i[3][1],Input,PIN_AC20,4A,B4A_N0,1.2 V,,,,,,,,,,,,,
psec4a_d_i[3][2],Input,PIN_AC18,4A,B4A_N0,1.2 V,,,,,,,,,,,,,
psec4a_d_i[3][3],Input,PIN_AC19,4A,B4A_N0,1.2 V,,,,,,,,,,,,,
psec4a_d_i[3][4],Input,PIN_AB19,4A,B4A_N0,1.2 V,,,,,,,,,,,,,
psec4a_d_i[3][5],Input,PIN_AA18,4A,B4A_N0,1.2 V,,,,,,,,,,,,,
psec4a_d_i[3][6],Input,PIN_Y18,4A,B4A_N0,1.2 V,,,,,,,,,,,,,
psec4a_d_i[3][7],Input,PIN_W18,4A,B4A_N0,1.2 V,,,,,,,,,,,,,
psec4a_d_i[3][8],Input,PIN_AC17,4A,B4A_N0,1.2 V,,,,,,,,,,,,,
psec4a_d_i[3][9],Input,PIN_Y19,4A,B4A_N0,1.2 V,,,,,,,,,,,,,
psec4a_d_i[3][10],Input,PIN_AB17,4A,B4A_N0,1.2 V,,,,,,,,,,,,,
psec4a_dllstart_o[3],Output,PIN_AE18,4A,B4A_N0,1.2 V,,,,,,,,,,,,,
psec4a_dllstart_o[2],Output,PIN_AE26,4A,B4A_N0,1.2 V,,,,,,,,,,,,,
psec4a_dllstart_o[1],Output,PIN_B15,7A,B7A_N0,1.2 V,,,,,,,,,,,,,
psec4a_dllstart_o[0],Output,PIN_C15,7A,B7A_N0,1.2 V,,,,,,,,,,,,,
psec4a_latchsel_o[3],Output,,,,1.2 V,,,,,,,,,,,,,
psec4a_latchsel_o[2],Output,,,,1.2 V,,,,,,,,,,,,,
psec4a_latchsel_o[1],Output,,,,1.2 V,,,,,,,,,,,,,
psec4a_latchsel_o[0],Output,,,,1.2 V,,,,,,,,,,,,,
psec4a_latchsel_o[0][0],Output,PIN_A14,7A,B7A_N0,1.2 V,,,,,,,,,,,,,
psec4a_latchsel_o[0][1],Output,PIN_B14,7A,B7A_N0,1.2 V,,,,,,,,,,,,,
psec4a_latchsel_o[0][2],Output,PIN_C14,7A,B7A_N0,1.2 V,,,,,,,,,,,,,
psec4a_latchsel_o[0][3],Output,PIN_C13,7A,B7A_N0,1.2 V,,,,,,,,,,,,,
psec4a_latchsel_o[1][0],Output,PIN_A12,7A,B7A_N0,1.2 V,,,,,,,,,,,,,
psec4a_latchsel_o[1][1],Output,PIN_B12,7A,B7A_N0,1.2 V,,,,,,,,,,,,,
psec4a_latchsel_o[1][2],Output,PIN_A13,7A,B7A_N0,1.2 V,,,,,,,,,,,,,
psec4a_latchsel_o[1][3],Output,PIN_A11,7A,B7A_N0,1.2 V,,,,,,,,,,,,,
psec4a_latchsel_o[2][0],Output,PIN_AE10,4A,B4A_N0,1.2 V,,,,,,,,,,,,,
psec4a_latchsel_o[2][1],Output,PIN_AE11,4A,B4A_N0,1.2 V,,,,,,,,,,,,,
psec4a_latchsel_o[2][2],Output,PIN_AF11,4A,B4A_N0,1.2 V,,,,,,,,,,,,,
psec4a_latchsel_o[2][3],Output,PIN_AD11,4A,B4A_N0,1.2 V,,,,,,,,,,,,,
psec4a_latchsel_o[3][0],Output,PIN_AF12,4A,B4A_N0,1.2 V,,,,,,,,,,,,,
psec4a_latchsel_o[3][1],Output,PIN_AF13,4A,B4A_N0,1.2 V,,,,,,,,,,,,,
psec4a_latchsel_o[3][2],Output,PIN_AE13,4A,B4A_N0,1.2 V,,,,,,,,,,,,,
psec4a_latchsel_o[3][3],Output,PIN_AD13,4A,B4A_N0,1.2 V,,,,,,,,,,,,,
psec4a_rampstart_o[3],Output,PIN_AC14,4A,B4A_N0,1.2 V,,,,,,,,,,,,,
psec4a_rampstart_o[2],Output,PIN_AC13,4A,B4A_N0,1.2 V,,,,,,,,,,,,,
psec4a_rampstart_o[1],Output,PIN_D12,7A,B7A_N0,1.2 V,,,,,,,,,,,,,
psec4a_rampstart_o[0],Output,PIN_C12,7A,B7A_N0,1.2 V,,,,,,,,,,,,,
psec4a_read_clk_o[3],Output,PIN_AD21,4A,B4A_N0,1.2 V,,,,,,,,,,,,,
psec4a_read_clk_o[2],Output,PIN_V25,5B,B5B_N0,1.2 V,,,,,,,,,,,,,
psec4a_read_clk_o[1],Output,PIN_M26,6A,B6A_N0,1.2 V,,,,,,,,,,,,,
psec4a_read_clk_o[0],Output,PIN_G26,6A,B6A_N0,1.2 V,,,,,,,,,,,,,
psec4a_ringosc_en_o[3],Output,PIN_AD12,4A,B4A_N0,1.2 V,,,,,,,,,,,,,
psec4a_ringosc_en_o[2],Output,PIN_AD10,4A,B4A_N0,1.2 V,,,,,,,,,,,,,
psec4a_ringosc_en_o[1],Output,PIN_B10,7A,B7A_N0,1.2 V,,,,,,,,,,,,,
psec4a_ringosc_en_o[0],Output,PIN_B11,7A,B7A_N0,1.2 V,,,,,,,,,,,,,
psec4a_ringosc_mon_i[3],Input,PIN_AB15,4A,B4A_N0,1.2 V,,,,,,,,,,,,,
psec4a_ringosc_mon_i[2],Input,PIN_AC15,4A,B4A_N0,1.2 V,,,,,,,,,,,,,
psec4a_ringosc_mon_i[1],Input,PIN_D15,7A,B7A_N0,1.2 V,,,,,,,,,,,,,
psec4a_ringosc_mon_i[0],Input,PIN_D16,7A,B7A_N0,1.2 V,,,,,,,,,,,,,
psec4a_sclk_o[3],Output,PIN_AF16,4A,B4A_N0,1.2 V,,,,,,,,,,,,,
psec4a_sclk_o[2],Output,PIN_AE16,4A,B4A_N0,1.2 V,,,,,,,,,,,,,
psec4a_sclk_o[1],Output,PIN_D22,6A,B6A_N0,1.2 V,,,,,,,,,,,,,
psec4a_sclk_o[0],Output,PIN_C18,7A,B7A_N0,1.2 V,,,,,,,,,,,,,
psec4a_sdat_o[3],Output,PIN_AF18,4A,B4A_N0,1.2 V,,,,,,,,,,,,,
psec4a_sdat_o[2],Output,PIN_AF17,4A,B4A_N0,1.2 V,,,,,,,,,,,,,
psec4a_sdat_o[1],Output,PIN_D21,7A,B7A_N0,1.2 V,,,,,,,,,,,,,
psec4a_sdat_o[0],Output,PIN_C19,7A,B7A_N0,1.2 V,,,,,,,,,,,,,
psec4a_sle_o[3],Output,PIN_AE14,4A,B4A_N0,1.2 V,,,,,,,,,,,,,
psec4a_sle_o[2],Output,PIN_AE15,4A,B4A_N0,1.2 V,,,,,,,,,,,,,
psec4a_sle_o[1],Output,PIN_D20,7A,B7A_N0,1.2 V,,,,,,,,,,,,,
psec4a_sle_o[0],Output,PIN_C20,7A,B7A_N0,1.2 V,,,,,,,,,,,,,
psec4a_trigger_i[3],Input,PIN_AE19,4A,B4A_N0,1.2 V,,,,,,,,,,,,,
psec4a_trigger_i[2],Input,PIN_AF19,4A,B4A_N0,1.2 V,,,,,,,,,,,,,
psec4a_trigger_i[1],Input,PIN_B19,7A,B7A_N0,1.2 V,,,,,,,,,,,,,
psec4a_trigger_i[0],Input,PIN_B20,7A,B7A_N0,1.2 V,,,,,,,,,,,,,
psec4a_vcdl_output_i[3],Input,PIN_AE20,4A,B4A_N0,1.2 V,,,,,,,,,,,,,
psec4a_vcdl_output_i[2],Input,PIN_AE21,4A,B4A_N0,1.2 V,,,,,,,,,,,,,
psec4a_vcdl_output_i[1],Input,PIN_A21,7A,B7A_N0,1.2 V,,,,,,,,,,,,,
psec4a_vcdl_output_i[0],Input,PIN_B22,7A,B7A_N0,1.2 V,,,,,,,,,,,,,
psec4a_xferadr_o[3],Output,,,,1.2 V,,,,,,,,,,,,,
psec4a_xferadr_o[2],Output,,,,1.2 V,,,,,,,,,,,,,
psec4a_xferadr_o[1],Output,,,,1.2 V,,,,,,,,,,,,,
psec4a_xferadr_o[0],Output,,,,1.2 V,,,,,,,,,,,,,
psec4a_xferadr_o[0][0],Output,PIN_A24,7A,B7A_N0,1.2 V,,,,,,,,,,,,,
psec4a_xferadr_o[0][1],Output,PIN_A23,7A,B7A_N0,1.2 V,,,,,,,,,,,,,
psec4a_xferadr_o[0][2],Output,PIN_B24,7A,B7A_N0,1.2 V,,,,,,,,,,,,,
psec4a_xferadr_o[0][3],Output,PIN_A22,7A,B7A_N0,1.2 V,,,,,,,,,,,,,
psec4a_xferadr_o[1][0],Output,PIN_B26,6A,B6A_N0,1.2 V,,,,,,,,,,,,,
psec4a_xferadr_o[1][1],Output,PIN_B25,6A,B6A_N0,1.2 V,,,,,,,,,,,,,
psec4a_xferadr_o[1][2],Output,PIN_C25,6A,B6A_N0,1.2 V,,,,,,,,,,,,,
psec4a_xferadr_o[1][3],Output,PIN_D26,6A,B6A_N0,1.2 V,,,,,,,,,,,,,
psec4a_xferadr_o[2][0],Output,PIN_AF23,4A,B4A_N0,1.2 V,,,,,,,,,,,,,
psec4a_xferadr_o[2][1],Output,PIN_AF22,4A,B4A_N0,1.2 V,,,,,,,,,,,,,
psec4a_xferadr_o[2][2],Output,PIN_AF21,4A,B4A_N0,1.2 V,,,,,,,,,,,,,
psec4a_xferadr_o[2][3],Output,PIN_AF24,4A,B4A_N0,1.2 V,,,,,,,,,,,,,
psec4a_xferadr_o[3][0],Output,PIN_AB25,5B,B5B_N0,1.2 V,,,,,,,,,,,,,
psec4a_xferadr_o[3][1],Output,PIN_AC25,5B,B5B_N0,1.2 V,,,,,,,,,,,,,
psec4a_xferadr_o[3][2],Output,PIN_AB26,5B,B5B_N0,1.2 V,,,,,,,,,,,,,
psec4a_xferadr_o[3][3],Output,PIN_AD25,5B,B5B_N0,1.2 V,,,,,,,,,,,,,
serial_data_i[1],Input,PIN_N7,B1L,,LVDS,,,,serial_data_i[1](n),,,,,,,,,
serial_data_i[0],Input,PIN_L8,8A,B8A_N0,LVDS,,,,serial_data_i[0](n),,,,,,,,,
serial_data_o[1],Output,PIN_N9,8A,B8A_N0,LVDS,,,,serial_data_o[1](n),,,,,,,,,
serial_data_o[0],Output,PIN_V6,B0L,,LVDS,,,,serial_data_o[0](n),,,,,,,,,
clk_i[1](n),Input,PIN_G14,7A,B7A_N0,LVDS,,,,clk_i[1],,,,,,,,,
clk_i[0](n),Input,PIN_Y16,4A,B4A_N0,LVDS,,,,clk_i[0],,,,,,,,,
clk_i[2](n),Input,PIN_M21,6A,B6A_N0,LVDS,,,,clk_i[2],,,,,,,,,
serial_data_i[1](n),Input,PIN_P6,B1L,,LVDS,,,,serial_data_i[1],,,,,,,,,
serial_data_i[0](n),Input,PIN_K9,8A,B8A_N0,LVDS,,,,serial_data_i[0],,,,,,,,,
serial_data_o[1](n),Output,PIN_M10,8A,B8A_N0,LVDS,,,,serial_data_o[1],,,,,,,,,
serial_data_o[0](n),Output,PIN_W6,B0L,,LVDS,,,,serial_data_o[0],,,,,,,,,
